,institute_name_scrapper,course_name,duration,Intakes Dates,status,Link of the Program,inst_currency
51,durham college,Culinary Skills,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/culinary-skills,Canadian dollar(Can$)
52,durham college,Cybersecurity (graduate certificate),Two semesters (,"e

						September 2022 
View",,https://durhamcollege.ca/programs/cybersecurity,Canadian dollar(Can$)
53,durham college,Cybersecurity (graduate certificate – weekend delivery),Two semesters (,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/cybersecurity-weekend-delivery,Canadian dollar(Can$)
54,durham college,Data Analytics for Business Decision Making (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/data-analytics-for-business-decision-making-graduate-certificate,Canadian dollar(Can$)
55,durham college,Data Analytics for Business Decision Making (graduate certificate – weekend delivery),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/data-analytics-for-business-decision-making-graduate-certificate-weekend-delivery,Canadian dollar(Can$)
56,durham college,Dental Assisting (Levels I and II),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/dental-assisting-levels-i-and-ii,Canadian dollar(Can$)
57,durham college,Dental Hygiene,Six semesters,"e

						May 2023 
View all in",,https://durhamcollege.ca/programs/dental-hygiene,Canadian dollar(Can$)
58,durham college,Dental Office Administration,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/dental-office-administration,Canadian dollar(Can$)
59,durham college,Developmental Services Worker,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/developmental-services-worker,Canadian dollar(Can$)
60,durham college,Early Childhood Education (compressed) – NEW,Four semesters,"e

						July 2022 
View all i",,https://durhamcollege.ca/programs/early-childhood-education-compressed,Canadian dollar(Can$)
61,durham college,Early Childhood Education,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/early-childhood-education-ece,Canadian dollar(Can$)
62,durham college,Electrical Engineering Technician,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/electrical-engineering-technician,Canadian dollar(Can$)
63,durham college,Electrical Techniques,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/electrical-techniques,Canadian dollar(Can$)
64,durham college,Electromechanical Engineering Technology (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/electro-mechanical-engineering-technology,Canadian dollar(Can$)
65,durham college,Electronics Engineering Technician,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/electronics-engineering-technician-two-year,Canadian dollar(Can$)
66,durham college,Electronics Engineering Technology,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/electronics-engineering-technology-three-year,Canadian dollar(Can$)
67,durham college,Emergency Services Fundamentals,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/emergency-services-fundamentals,Canadian dollar(Can$)
